,log_distance_eiffel,tx_pauvrete,nombre_pieces_principales,code_commune,type_local,log_surface,nv_vie_moyen,nbre_menages,NIVVIE_MEDIAN,TAUX_PAUVRETE,prix_m2
35251,2.9544961709138367,0.18556701030927836,4.0,93046,Appartement,4.31748811353631,57141.8824742268,194.0,23730.0,22.5,2045.3333333333333
11598,1.8665494626475425,0.08270676691729323,3.0,92040,Appartement,4.02535169073515,67297.76854636591,798.0,37740.0,9.4,7589.285714285715
21034,2.4870290972735276,0.32553191489361705,3.0,93031,Appartement,4.0943445622221,55491.82489361702,470.0,19650.0,32.8,2166.6666666666665
19297,2.2671566141283455,0.08222811671087533,4.0,92071,Appartement,4.3694478524670215,90289.38938992041,377.0,40220.0,9.0,6962.025316455696
11810,2.6028873753292867,0.07142857142857142,2.0,92002,Maison,4.1588830833596715,92697.81103896104,154.0,36480.0,9.6,9609.375
29019,2.8953935772314794,0.054945054945054944,3.0,93077,Maison,4.454347296253507,82989.01978021978,91.0,26690.0,20.1,5232.558139534884
32502,2.8808674623520374,0.056818181818181816,3.0,93062,Appartement,4.219507705176107,77815.19204545455,88.0,32550.0,13.0,6183.823529411765
34506,2.8290247122899705,0.1349206349206349,3.0,93057,Maison,4.0943445622221,74356.6365079365,126.0,23970.0,23.8,3987.2408333333337
11525,2.241324898156528,0.07606263982102908,3.0,92072,Appartement,4.143134726391533,73266.15055928411,447.0,37950.0,9.7,4384.126984126984
40971,2.0285440116969515,0.21585903083700442,1.0,94043,Appartement,3.1780538303479458,46885.08502202643,227.0,26250.0,20.0,5354.166666666667
50227,2.831536211611672,0.1003584229390681,1.0,94058,Appartement,3.4657359027997265,66543.93906810036,279.0,35680.0,9.3,5687.5
24508,3.025495893742062,0.0,7.0,93051,Maison,5.19295685089021,116621.39499999999,20.0,26370.0,18.7,5110.944444444444
31659,2.319511299132853,0.1830238726790451,3.0,93045,Appartement,3.912023005428146,51150.90742705571,377.0,28150.0,17.5,6958.0
17996,2.2196095578599198,0.11036789297658862,3.0,92032,Appartement,4.30406509320417,65982.08260869565,299.0,30640.0,14.0,3648.6486486486488
30307,2.876594109225746,0.1038961038961039,6.0,93005,Maison,4.90527477843843,66598.87272727273,77.0,20930.0,29.8,2851.8518518518517
35793,2.7492749229316793,0.13846153846153847,3.0,93064,Appartement,4.189654742026425,58214.96615384615,65.0,24250.0,22.5,3181.818181818182
35425,3.1501341708623367,0.3132530120481928,2.0,93073,Appartement,3.6635616461296463,31116.898795180725,83.0,23800.0,20.5,4051.2820512820513
16084,1.698356156486695,0.066006600660066,4.0,92075,Appartement,4.418840607796598,92823.89009900989,303.0,34820.0,10.0,9949.734939759037
11466,2.089307128768485,0.028985507246376812,4.0,92048,Appartement,4.5217885770490405,137054.53768115942,69.0,34880.0,11.1,7424.782608695652
51750,2.918263571724776,0.14925373134328357,3.0,94001,Appartement,4.248495242049359,46997.08059701492,67.0,27060.0,17.0,3285.714285714286
5621,1.9080847279058881,0.05761316872427984,2.0,92062,Appartement,3.9512437185814275,74328.58683127572,243.0,35160.0,11.6,10673.076923076924
48530,2.653689325643721,0.25517993456924754,2.0,94022,Appartement,3.8918202981106265,48420.079498364226,917.0,23350.0,24.6,2040.8163265306123
6224,2.3535605732303875,0.08421052631578947,2.0,92063,Appartement,3.8066624897703196,67458.2505263158,95.0,37730.0,9.3,7000.0
2639,2.2534631978588218,0.07425742574257425,3.0,92063,Appartement,4.30406509320417,80534.69851485148,202.0,37730.0,9.3,7072.0675675675675
27372,2.8113025181870914,0.13793103448275862,3.0,93005,Maison,4.04305126783455,66958.96781609196,87.0,20930.0,29.8,4649.122807017544
34054,2.3148950195142453,0.2054380664652568,1.0,93045,Appartement,3.5553480614894135,49550.11359516616,331.0,28150.0,17.5,7257.142857142857
10757,2.49705676275468,0.041666666666666664,3.0,92002,Maison,4.343805421853684,105207.08888888889,72.0,36480.0,9.6,8772.727272727272
6127,2.03947551066006,0.1917808219178082,2.0,92050,Appartement,3.7612001156935624,66411.38675799087,219.0,24020.0,24.3,4562.790697674419
16185,2.3763303901600334,0.03664921465968586,4.0,92060,Appartement,4.48863636973214,77475.18743455497,191.0,35370.0,6.8,6426.966292134832
8478,1.7809164202853345,0.11059907834101383,2.0,92062,Appartement,3.784189633918261,73218.20668202765,434.0,35160.0,11.6,9545.454545454546
31058,2.876267161062836,0.1875,3.0,93005,Maison,4.007333185232471,72547.4025,80.0,20930.0,29.8,5090.909090909091
26760,2.5059909237094486,0.08888888888888889,2.0,93048,Appartement,3.7612001156935624,52997.91259259259,270.0,24100.0,25.6,6627.906976744186
8334,1.946276707981383,0.0847457627118644,3.0,92035,Appartement,4.51085950651685,84702.59858757061,354.0,37720.0,8.8,4835.1648351648355
18167,1.7211914643431276,0.08875739644970414,4.0,92012,Appartement,4.1588830833596715,75008.15710059172,676.0,40000.0,10.4,6484.375
46205,2.6193353567941315,0.13141025641025642,3.0,94033,Appartement,4.127134385045092,78695.54198717949,312.0,29690.0,15.5,7408.903225806452
3657,2.1507826479562584,0.10075566750629723,4.0,92050,Appartement,4.343805421853684,74747.20680100756,397.0,24020.0,24.3,6197.402597402597
8923,2.029671280661926,0.09073359073359073,2.0,92004,Appartement,3.8918202981106265,75327.12007722008,518.0,32300.0,16.3,6154.081632653061
35146,2.3939477630894506,0.11678832116788321,2.0,93055,Appartement,3.871201010907891,76107.28065693431,274.0,21820.0,28.9,8187.5
31768,2.5200423295137027,0.10112359550561797,2.0,93048,Appartement,3.6888794541139363,63390.145318352064,267.0,24100.0,25.6,6625.0
41851,2.615013317875787,0.12893982808022922,3.0,94046,Appartement,4.189654742026425,60702.82148997134,349.0,31480.0,11.7,5452.121212121212
39406,2.9663559339158128,0.14181818181818182,2.0,94071,Appartement,3.828641396489095,50549.68109090909,275.0,31540.0,11.7,6521.739130434783
13836,1.8739853544137215,0.07809110629067245,1.0,92049,Appartement,3.4339872044851463,69534.37114967463,461.0,34480.0,11.6,5225.806451612903
20229,1.9068557053137454,0.09565217391304348,2.0,92020,Appartement,3.58351893845611,68233.18695652173,230.0,34590.0,10.4,6572.48
20498,2.401146426416061,0.2767857142857143,2.0,93006,Maison,4.0943445622221,55827.560267857145,224.0,21660.0,28.5,6650.0
26957,3.0779760043148996,0.2601456815816857,2.0,93051,Appartement,3.9512437185814275,49796.05213319459,961.0,26370.0,18.7,3461.5384615384614
14661,1.831300173747792,0.12727272727272726,2.0,92012,Appartement,3.6888794541139363,87312.59018181819,275.0,40000.0,10.4,10750.0
11190,2.479366016766244,0.025974025974025976,3.0,92002,Appartement,4.204692619390966,109843.39480519481,77.0,36480.0,9.6,7029.850746268657
24811,2.940366632067005,0.17857142857142858,2.0,93032,Appartement,3.8066624897703196,45399.42821428572,280.0,25630.0,18.8,3444.4444444444443
29651,2.8344912409284513,0.05343511450381679,5.0,93049,Maison,4.51085950651685,83579.50305343512,131.0,29580.0,15.0,5879.120879120879
3329,1.8115283035122869,0.1005586592178771,3.0,92024,Appartement,4.07753744390572,62602.222905027935,716.0,26070.0,22.2,7796.610169491525
17675,1.7313159686154997,0.09407665505226481,1.0,92012,Appartement,3.295836866004329,91355.28885017421,287.0,40000.0,10.4,7851.851851851852
29822,3.1820520825932723,0.05357142857142857,5.0,93074,Maison,4.248495242049359,71080.55714285714,56.0,25270.0,20.0,4314.285714285715
26728,2.461684180754548,0.23778501628664495,6.0,93031,Maison,4.605170185988092,57806.6680781759,307.0,19650.0,32.8,3250.0
11740,2.236097922999881,0.11036789297658862,4.0,92071,Maison,4.867534450455582,65982.08260869565,299.0,40220.0,9.0,6538.461538461538
20552,3.1471134039745383,0.17295597484276728,5.0,93073,Maison,4.859812404361672,50142.75345911949,318.0,23800.0,20.5,2868.217054263566
20467,3.0132795208234007,0.143646408839779,5.0,93046,Appartement,4.430816798843313,64336.11933701657,181.0,23730.0,22.5,3166.6666666666665
25,1.8151439969937821,0.1008130081300813,2.0,92026,Appartement,3.6635616461296463,79709.40829268293,615.0,36140.0,12.1,6352.5641025641025
22431,2.4286097974658056,0.1424581005586592,2.0,93048,Appartement,3.2188758248682006,57764.31005586592,358.0,24100.0,25.6,7800.0
49404,2.664966774099721,0.15,4.0,94033,Maison,4.553876891600541,61632.25,140.0,29690.0,15.5,7052.631578947368
47796,2.419401671832369,0.2049469964664311,1.0,94081,Appartement,3.4339872044851463,48168.27738515901,283.0,21660.0,27.5,4741.935483870968
38984,2.3060398923241587,0.0897887323943662,2.0,94018,Appartement,3.7612001156935624,74115.71073943663,568.0,34140.0,11.0,8720.93023255814
37359,2.968486721177258,0.030303030303030304,4.0,94019,Maison,5.049856007249537,113659.53636363638,33.0,26970.0,18.0,4679.48717948718
33624,2.65288735895894,0.2109375,3.0,93053,Appartement,4.174387269895637,42126.36015625,128.0,20600.0,30.9,2923.076923076923
